species,schema
Acinetobacter_baumannii,Acinetobacter_baumannii_cgMLST
Bacillus_anthracis,Bacillus_anthracis_cgMLST
Bordetella_pertussis,Bordetella_pertussis_cgMLST
Brucella_melitensis,Brucella_melitensis_cgMLST
Brucella_abortus,Brucella_spp_cgMLST
Brucella_canis,Brucella_spp_cgMLST
Brucella_ceti,Brucella_spp_cgMLST
Brucella_inopinata,Brucella_spp_cgMLST
Brucella_melitensis,Brucella_spp_cgMLST
Brucella_microti,Brucella_spp_cgMLST
Brucella_neotomae,Brucella_spp_cgMLST
Brucella_ovis,Brucella_spp_cgMLST
Brucella_pinnipedialis,Brucella_spp_cgMLST
Brucella_suis,Brucella_spp_cgMLST
Burkholderia_mallei,Burkholderia_mallei_FLI_cgMLST
Burkholderia_mallei,Burkholderia_mallei_RKI_cgMLST
Burkholderia_pseudomallei,Burkholderia_pseudomallei_cgMLST
Campylobacter_coli,Campylobacter_jejuni_coli_cgMLST
Campylobacter_jejuni,Campylobacter_jejuni_coli_cgMLST
Citrobacter_freundii,Citrobacter_freundii_cgMLST
Citrobacter_braakii,Citrobacter_freundii_portucalensis_braakii_europaeus_cgMLST
Citrobacter_europaeus,Citrobacter_freundii_portucalensis_braakii_europaeus_cgMLST
Citrobacter_freundii,Citrobacter_freundii_portucalensis_braakii_europaeus_cgMLST
Citrobacter_portucalensis,Citrobacter_freundii_portucalensis_braakii_europaeus_cgMLST
Clostridioides_difficile,Clostridioides_difficile_cgMLST
Clostridium_perfringens,Clostridium_perfringens_cgMLST
Corynebacterium_diphtheriae,Corynebacterium_diphtheriae_cgMLST
Corynebacterium_pseudotuberculosis,Corynebacterium_pseudotuberculosis_cgMLST
Cronobacter_malonaticus,Cronobacter_sakazakii_malonaticus_cgMLST
Cronobacter_sakazakii,Cronobacter_sakazakii_malonaticus_cgMLST
Enterobacter_hormaechei,Enterobacter_hormaechei_cgMLST
Enterococcus_faecalis,Enterococcus_faecalis_cgMLST
Enterococcus_faecium,Enterococcus_faecium_cgMLST
Escherichia_albertii,Escherichia_coli_cgMLST
Escherichia_coli,Escherichia_coli_cgMLST
Escherichia_fergusonii,Escherichia_coli_cgMLST
Escherichia_marmotae,Escherichia_coli_cgMLST
Escherichia_ruysiae,Escherichia_coli_cgMLST
Shigella_boydii,Escherichia_coli_cgMLST
Shigella_dysenteriae,Escherichia_coli_cgMLST
Shigella_flexneri,Escherichia_coli_cgMLST
Shigella_sonnei,Escherichia_coli_cgMLST
Francisella_tularensis,Francisella_tularensis_cgMLST
Klebsiella_grimontii,Klebsiella_oxytoca_grimontii_michiganensis_pasteurii_cgMLST
Klebsiella_michiganensis,Klebsiella_oxytoca_grimontii_michiganensis_pasteurii_cgMLST
Klebsiella_oxytoca,Klebsiella_oxytoca_grimontii_michiganensis_pasteurii_cgMLST
Klebsiella_pasteurii,Klebsiella_oxytoca_grimontii_michiganensis_pasteurii_cgMLST
Klebsiella_pneumoniae,Klebsiella_pneumoniae_variicola_quasipneumoniae_cgMLST
Klebsiella_quasipneumoniae,Klebsiella_pneumoniae_variicola_quasipneumoniae_cgMLST
Klebsiella_variicola,Klebsiella_pneumoniae_variicola_quasipneumoniae_cgMLST
Legionella_pneumophila,Legionella_pneumophila_cgMLST
Listeria_monocytogenes,Listeria_monocytogenes_cgMLST
Morganella_morganii,Morganella_morganii_cgMLST
Mycobacterium_africanum,Mycobacterium_tuberculosis_bovis_africanum_canettii_cgMLST
Mycobacterium_bovis,Mycobacterium_tuberculosis_bovis_africanum_canettii_cgMLST
Mycobacterium_canettii,Mycobacterium_tuberculosis_bovis_africanum_canettii_cgMLST
Mycobacterium_tuberculosis,Mycobacterium_tuberculosis_bovis_africanum_canettii_cgMLST
Mycobacteroides_abscessus,Mycobacteroides_abscessus_cgMLST
Mycoplasma_gallisepticum,Mycoplasma_gallisepticum_cgMLST
Paenibacillus_larvae,Paenibacillus_larvae_cgMLST
Proteus_mirabilis,Proteus_mirabilis_cgMLST
Providencia_stuartii,Providencia_stuartii_cgMLST
Pseudomonas_aeruginosa,Pseudomonas_aeruginosa_cgMLST
Salmonella_bongori,Salmonella_enterica_cgMLST
Salmonella_enterica,Salmonella_enterica_cgMLST
Serratia_marcescens,Serratia_marcescens_cgMLST
Staphylococcus_argenteus,Staphylococcus_argenteus_cgMLST
Staphylococcus_aureus,Staphylococcus_aureus_cgMLST
Staphylococcus_capitis,Staphylococcus_capitis_cgMLST
Streptococcus_pyogenes,Streptococcus_pyogenes_cgMLST
Yersinia_enterocolitica,Yersinia_enterocolitica_cgMLST
